"ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "height" "weight" "gender" "grade"
1 1 0 0 1 0 9 1 0 0 0 0 1 0 1 9 0 1 0 0 0 1 0 1 0 1 0 169 99 1 7
2 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 9 1 0 1 1 0 9 1 0 1 1 173 70 1 6
3 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 191 99 2 6.2
4 1 0 0 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 9 1 1 0 1 1 1 0 176 73 1 6.6
5 1 0 0 9 0 9 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 176 75 2 7.4
6 1 1 1 1 0 0 1 0 1 9 0 0 1 1 0 0 0 1 0 1 0 0 1 9 1 0 192 89 1 6.1
7 0 0 1 1 0 0 1 9 0 1 1 1 0 1 0 1 1 0 0 9 0 0 9 1 1 0 180 81 2 2.5
8 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 9 162 66 1 99
9 0 0 1 0 0 0 9 0 1 1 0 1 1 1 0 0 1 0 1 1 1 0 1 0 1 1 168 99 2 7.4
10 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0 9 1 1 0 1 0 1 1 0 0 1 171 73 2 8.2
11 1 0 1 1 0 1 0 1 1 0 0 0 1 9 0 0 9 9 0 0 0 0 1 0 1 0 187 89 1 7.5
12 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 1 9 0 1 0 0 1 1 1 0 179 80 1 6.9
13 1 0 0 1 0 9 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 9 179 77 2 3.5
14 1 1 9 0 0 9 1 0 1 1 0 1 0 0 0 0 0 9 0 1 1 0 1 0 1 0 176 76 2 8.2
15 1 0 1 0 0 0 9 0 0 0 0 1 1 1 0 9 1 0 0 1 0 9 0 1 1 0 169 68 9 8.7
16 9 0 9 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 1 999 94 2 99
17 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 180 79 1 9.9
18 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 155 57 9 1.9
19 1 0 1 0 1 0 1 9 1 1 0 0 1 1 0 9 1 0 0 1 1 0 1 0 0 0 999 81 1 4.9
20 1 0 1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 170 72 2 99
21 9 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 1 9 1 1 164 62 1 6.6
22 0 0 0 1 0 9 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 9 173 70 2 4.3
23 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 165 71 2 8.9
24 0 0 1 1 1 0 1 1 1 0 9 0 1 1 0 0 9 1 0 1 1 0 1 0 1 1 168 67 1 5.5
25 1 1 1 1 0 0 1 1 1 9 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 169 70 1 4.3
26 9 1 1 0 0 0 1 0 1 0 0 0 1 9 0 0 1 1 0 1 0 0 0 0 9 0 158 59 4 6.5
27 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 1 9 0 0 1 0 0 1 0 1 0 183 82 2 8.3
28 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 1 0 177 99 2 5.3
29 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 9 0 1 1 0 0 0 1 1 0 164 65 1 5.4
30 1 0 0 0 0 9 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 188 88 2 6.4
31 1 0 0 1 0 0 1 1 0 1 1 1 9 1 1 0 1 0 0 9 1 0 1 0 0 1 999 79 2 4.9
32 0 0 1 1 0 0 1 0 1 1 9 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 172 72 1 6.2
33 1 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 184 88 2 7.1
34 1 1 1 0 0 0 0 0 1 1 1 1 1 9 0 0 1 0 1 1 0 0 1 0 1 0 184 83 2 7.8
35 9 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 183 81 1 7.8
36 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 0 1 1 0 1 0 1 0 182 82 2 5.5
37 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 9 0 1 1 1 0 181 82 2 6.1
38 1 0 1 1 1 0 1 9 0 1 9 9 1 1 1 0 1 0 0 0 0 0 0 9 0 0 174 75 1 7.8
39 1 1 1 1 0 0 0 1 1 1 1 1 9 1 0 0 0 0 1 1 0 0 1 9 1 0 172 71 2 7.9
40 1 1 1 1 1 0 1 9 9 1 0 9 1 1 0 0 1 0 0 1 1 0 0 1 1 0 171 99 2 7.1
41 0 0 1 1 0 1 1 0 1 9 9 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 168 71 2 6.4
42 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 173 72 1 3.4
43 1 0 0 1 0 1 1 9 1 0 0 1 0 1 0 0 1 0 9 1 0 9 9 0 1 1 162 60 2 8.6
44 1 0 1 1 1 1 1 9 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 197 97 1 6.7
45 0 0 1 1 0 0 1 0 1 1 1 9 0 1 1 0 9 0 0 1 0 0 1 0 1 0 187 87 2 99
46 1 0 1 0 0 1 1 1 0 1 0 1 1 9 0 0 0 1 1 0 0 0 0 0 1 0 164 66 9 6.1
47 0 9 1 1 1 0 1 0 1 0 0 0 0 9 0 0 9 0 0 1 0 0 1 1 1 0 171 71 1 5.6
48 1 0 9 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 170 72 2 5.5
49 0 0 1 1 0 0 0 9 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 9 999 82 2 6
50 1 0 9 1 0 0 1 1 1 1 0 0 0 0 9 0 1 0 0 0 0 0 0 1 1 0 174 74 1 4
51 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 178 99 2 9.3
52 1 0 1 1 1 0 1 9 0 0 0 1 1 1 0 0 1 0 9 0 1 0 1 1 1 0 175 75 1 6.4
53 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 0 9 0 0 1 0 1 0 1 0 999 73 1 7.2
54 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 999 86 1 7.3
55 1 1 9 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 9 1 0 0 1 0 0 1 173 77 1 8.3
